image_path,label
OriginalImages\10066\20130107_101639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130107_122728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130107_141629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130108_114635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130108_115731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130108_141633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130108_145731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130108_152726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130109_064638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130109_081633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130109_115734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130109_122726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130109_125727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130110_081633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130110_084639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130110_111634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130110_124634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130110_131630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130111_065742.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130111_081636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130111_115726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130111_134632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130111_151634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130112_085734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130112_091630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130112_112740.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130112_134634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130112_145729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130113_062730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130113_124634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130113_132732.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130113_134629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130113_154632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130114_074630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130114_094639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130114_095726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130114_132728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130114_161636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130115_064632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130115_074629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130115_114637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130115_115725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130115_125723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130116_075727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130116_084630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130116_094634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130116_095723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130116_122722.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130117_082724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130117_084633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130117_085726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130117_104635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130117_144636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130118_074634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130118_084630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130118_085726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130118_135726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130118_155725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130119_062731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130119_071637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130119_081632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130119_084636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130119_102732.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130120_062727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130120_074633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130120_094628.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130120_145730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130120_154635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130121_062725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130121_104633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130121_112729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130121_151637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130121_154628.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130122_081639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130122_121632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130122_124640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130122_132727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130122_135732.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130123_065734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130123_082727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130123_085731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130123_112728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130123_145729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130124_064631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130124_071634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130124_082730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130124_091640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130124_161634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130125_072729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130125_075724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130125_112729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130125_115727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130125_145730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130126_072731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130126_082734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130126_084639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130126_105728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130126_154630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130127_062726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130127_115731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130127_131637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130127_134631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130127_155734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130128_061633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130128_075725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130128_102734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130128_121639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130128_151633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130129_062731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130129_081640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130129_082745.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130129_101640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130129_151635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130130_061642.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130130_071633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130130_102728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130130_121637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130130_135734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130131_062732.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130131_104636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130131_134640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130131_154633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130131_161629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130201_084629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130201_104629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130201_115726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130201_152725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130201_161632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130202_064634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130202_075730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130202_094632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130202_101630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130202_121633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130203_061634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130203_062733.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130203_075727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130203_085722.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130203_151630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130204_065723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130204_072729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130204_082735.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130204_085723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130204_155733.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130205_061631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130205_074639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130205_085724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130205_145728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130205_161636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130206_075731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130206_085726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130206_105728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130206_114630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130206_115732.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130207_064628.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130207_082726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130207_092730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130207_125737.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130207_161636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130208_064637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130208_085729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130208_094638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130208_121631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130208_154641.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130209_072722.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130209_075727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130209_094634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130209_114637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130209_151634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130210_064632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130210_072737.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130210_121636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130210_122725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130210_144635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130211_064627.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130211_084634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130211_094634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130211_102723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130211_154636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130212_091635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130212_101633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130212_104638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130212_125724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130212_151635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130213_075734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130213_095728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130213_104631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130213_114636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130213_134635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130214_111632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130214_124637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130214_134631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130214_141630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130214_161631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130215_065731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130215_111640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130215_125732.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130215_134643.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130215_152729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130216_065730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130216_091637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130216_095728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130216_124633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130216_154640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130217_074635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130217_082735.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130217_104630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130217_125724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130217_144636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130218_074639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130218_081632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130218_092731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130218_145726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130218_161630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130219_081633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130219_084640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130219_091631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130219_142727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130219_162734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130220_072726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130220_114638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130220_144640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130220_152730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130220_162727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130221_105726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130221_131635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130221_135725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130221_155727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130221_171643.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130222_061640.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130222_075729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130222_082733.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130222_101634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130222_112731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130223_061641.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130223_062729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130223_072731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130223_081636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130223_164629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130224_085728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130224_091632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130224_134635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130224_151628.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130224_165728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130225_094635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130225_122733.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130225_135734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130225_154635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130225_165728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130226_061636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130226_122727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130226_131639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130226_151634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130226_152728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130227_074635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130227_111638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130227_131631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130227_155726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130227_161638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130228_061638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130228_065727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130228_115732.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130228_135731.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130228_151639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130301_075726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130301_091633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130301_094638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130301_162724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130301_164631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130302_082729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130302_101627.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130302_111637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130302_132736.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130302_134636.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130303_112727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130303_124637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130303_142733.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130303_165727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130303_171633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130304_095728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130304_115726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130304_122729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130304_142729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130304_164633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130305_075727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130305_111633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130305_114633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130305_131639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130305_132728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130306_064639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130306_065730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130306_072726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130306_122728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130306_152729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130307_061633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130307_062722.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130307_064641.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130307_094638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130307_162730.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130308_064634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130308_071634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130308_094637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130308_125727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130308_145728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130309_071629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130309_115723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130309_125726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130309_151629.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130309_164626.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130310_062735.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130310_085736.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130310_112726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130310_114630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130310_151638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130311_064635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130311_082726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130311_084633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130311_085721.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130311_164641.jpg,ValidationImages\Skyfinder\10066.png
